entropy,MI,std,spatial_freq,SSIM_mri,SSIM_partner,edge_preservation,method,pairing,pair
3.8980446864473697,2.9110509384979184,0.3285713195800781,0.10799436271190643,0.8163767919229942,0.7918749079368081,0.5895848870277405,laplacian,mri_ct,carcinoma_mri_ct_014.png
4.243047010637485,3.483300162514881,0.24022193253040314,0.06926058977842331,0.7116991268994721,0.7034370881644864,0.37983521819114685,averaging,mri_ct,toxoplasma_mri_ct_010.png
4.381714754541039,3.4623191554286983,0.23951561748981476,0.06877841800451279,0.7117540216972695,0.7032324150811499,0.3785710334777832,densefuse,mri_ct,toxoplasma_mri_ct_010.png
4.776646140532127,3.3578717100001008,0.3051774799823761,0.09924768656492233,0.696356506802123,0.7265414557529645,0.45813310146331787,densefuse_norm,mri_ct,toxoplasma_mri_ct_010.png
4.784148159111782,2.496414218128538,0.24797308444976807,0.11383489519357681,0.691322238168817,0.6759414281829516,0.4586709439754486,dwt,mri_ct,toxoplasma_mri_ct_010.png
4.68796247820858,2.9806288370882217,0.3443834185600281,0.12758015096187592,0.7102698231538157,0.7036806583320908,0.5340646505355835,laplacian,mri_ct,toxoplasma_mri_ct_010.png
4.170382362485567,3.4656198111198946,0.2325780838727951,0.06983893364667892,0.7293884901735151,0.7137434817872739,0.3793421685695648,averaging,mri_ct,toxoplasma_mri_ct_011.png
4.309124137575015,3.4310559740048916,0.2319454699754715,0.0692983865737915,0.7296560077017171,0.7133485820576595,0.3779958486557007,densefuse,mri_ct,toxoplasma_mri_ct_011.png
4.693222694935352,3.346590201452947,0.2908538579940796,0.09835973381996155,0.7159138719066777,0.7350185380783905,0.4465627670288086,densefuse_norm,mri_ct,toxoplasma_mri_ct_011.png
4.719190046849121,2.5061726624128267,0.24111540615558624,0.11622520536184311,0.7004173193731456,0.6908376108596381,0.45834118127822876,dwt,mri_ct,toxoplasma_mri_ct_011.png
4.632110021034933,2.9206054575980076,0.3272799253463745,0.12806464731693268,0.7266130171250782,0.7096319282513699,0.5202546119689941,laplacian,mri_ct,toxoplasma_mri_ct_011.png
4.171268074495271,3.4537917021281914,0.23098435997962952,0.069387286901474,0.7372013230421511,0.709574075335932,0.37374362349510193,averaging,mri_ct,toxoplasma_mri_ct_012.png
4.3108376695578,3.4057323181597488,0.23036617040634155,0.06890199333429337,0.737298147748106,0.7092672699809547,0.37246909737586975,densefuse,mri_ct,toxoplasma_mri_ct_012.png
4.675825745861861,3.306562956163846,0.2879103422164917,0.0979766845703125,0.7321337130299027,0.7248373157607428,0.4473879933357239,densefuse_norm,mri_ct,toxoplasma_mri_ct_012.png
4.6809171902008035,2.47192454133,0.23971769213676453,0.11625972390174866,0.7129264240436052,0.6849384149561667,0.44953083992004395,dwt,mri_ct,toxoplasma_mri_ct_012.png
4.609127103997524,2.899648296171878,0.32684940099716187,0.12797412276268005,0.7403936598875492,0.7045405590004816,0.5214394330978394,laplacian,mri_ct,toxoplasma_mri_ct_012.png
4.076465995617486,3.354897210404941,0.2314128428697586,0.06869497150182724,0.741639113178918,0.6937378706149342,0.3682085871696472,averaging,mri_ct,toxoplasma_mri_ct_013.png
4.210558076336321,3.3242054518868693,0.23079532384872437,0.06827569007873535,0.7416859750236405,0.6935567495971643,0.3672417104244232,densefuse,mri_ct,toxoplasma_mri_ct_013.png
4.581264155413638,3.229331278068746,0.29079967737197876,0.09857738763093948,0.7393255709126302,0.7084192822139639,0.44096440076828003,densefuse_norm,mri_ct,toxoplasma_mri_ct_013.png
4.6087036670689345,2.388195276693222,0.2408248335123062,0.11748580634593964,0.7221415171491378,0.6633500575702518,0.4479452967643738,dwt,mri_ct,toxoplasma_mri_ct_013.png
4.526309989202839,2.8843494409144523,0.33091306686401367,0.12786321341991425,0.7591134985548486,0.6787653078486889,0.5258986353874207,laplacian,mri_ct,toxoplasma_mri_ct_013.png
4.0139670887309205,3.3861203851874864,0.2280719131231308,0.06594374030828476,0.751416428166189,0.7123068673450842,0.3783317804336548,averaging,mri_ct,toxoplasma_mri_ct_014.png
4.136783359129018,3.3588552712773567,0.22744962573051453,0.06556597352027893,0.7514072749215329,0.7122023264852075,0.37726739048957825,densefuse,mri_ct,toxoplasma_mri_ct_014.png
4.508951760920088,3.265132227845889,0.29129505157470703,0.09547530114650726,0.7425615444200168,0.734146712758187,0.4466229975223541,densefuse_norm,mri_ct,toxoplasma_mri_ct_014.png
4.507152701767055,2.433257898106734,0.23668178915977478,0.11193834990262985,0.7293803265445847,0.6834196453856318,0.45275944471359253,dwt,mri_ct,toxoplasma_mri_ct_014.png
4.445691474694877,2.9103482171290063,0.33191901445388794,0.12261839210987091,0.759912160292843,0.7014771550679002,0.5308624505996704,laplacian,mri_ct,toxoplasma_mri_ct_014.png
4.160590185321268,2.953628296723066,0.1904592514038086,0.07028603553771973,0.7830785215969466,0.6212293724002264,0.4170483648777008,averaging,mri_pet,alzheimers_mri_pet_010.png
4.145752361749166,2.855656321593634,0.18980315327644348,0.07011433690786362,0.7811097493482938,0.621566641529747,0.41514506936073303,densefuse,mri_pet,alzheimers_mri_pet_010.png
4.34366142042248,3.124831769491192,0.2557283043861389,0.11579164862632751,0.8241876539375221,0.6467188863054236,0.6218541264533997,densefuse_norm,mri_pet,alzheimers_mri_pet_010.png
4.279681628864115,2.3322433986108937,0.2020987868309021,0.12069350481033325,0.8346796872835895,0.5740447204873975,0.5229178071022034,dwt,mri_pet,alzheimers_mri_pet_010.png
4.391833100204029,2.919414549549778,0.2943961024284363,0.1359303891658783,0.8640127984443489,0.597860702071957,0.6733846068382263,laplacian,mri_pet,alzheimers_mri_pet_010.png
4.197178336707405,3.0563886539884213,0.1935737580060959,0.067965067923069,0.765263407656728,0.636688481595186,0.41802364587783813,averaging,mri_pet,alzheimers_mri_pet_011.png
4.179349964681071,2.946913433227645,0.19298383593559265,0.06775632500648499,0.7630663968881523,0.6370726568751454,0.41575896739959717,densefuse,mri_pet,alzheimers_mri_pet_011.png
4.3559191516882185,3.1124712373068317,0.25891032814979553,0.1092454344034195,0.784960951896892,0.6838884187836509,0.6041626930236816,densefuse_norm,mri_pet,alzheimers_mri_pet_011.png
4.290873482196403,2.394736226588142,0.20372875034809113,0.11589157581329346,0.8142109054011771,0.5882094855397495,0.5117951035499573,dwt,mri_pet,alzheimers_mri_pet_011.png
4.413825099470591,2.902736460773511,0.30253663659095764,0.1300158053636551,0.8256448903235482,0.6237562613618577,0.6485227346420288,laplacian,mri_pet,alzheimers_mri_pet_011.png
4.215403257068896,3.109247564212403,0.20743894577026367,0.06940349191427231,0.7541140096237667,0.6281937558538349,0.4084080457687378,averaging,mri_pet,alzheimers_mri_pet_012.png
4.201086541040159,3.013033945805857,0.20683863759040833,0.06921543926000595,0.7521535886359466,0.6285774864073025,0.40624576807022095,densefuse,mri_pet,alzheimers_mri_pet_012.png
4.3538484392040555,3.131439439625999,0.2727186977863312,0.11145224422216415,0.7602233559482681,0.6877348398036399,0.590652585029602,densefuse_norm,mri_pet,alzheimers_mri_pet_012.png
4.305704604866017,2.4585320480030646,0.21754181385040283,0.11875253170728683,0.8035578118099224,0.5860000324142722,0.5049167275428772,dwt,mri_pet,alzheimers_mri_pet_012.png
4.3707591066942335,2.8890540089590937,0.3199358880519867,0.13207519054412842,0.8071860999119703,0.6254162604851594,0.6297329664230347,laplacian,mri_pet,alzheimers_mri_pet_012.png
4.172066376982104,3.1318934947039714,0.21485087275505066,0.06954709440469742,0.7381398296902963,0.6364347065979817,0.40503990650177,averaging,mri_pet,alzheimers_mri_pet_013.png
4.159280959557165,3.042747894780814,0.21428027749061584,0.0693422332406044,0.7362175817039625,0.6368156081977244,0.40290600061416626,densefuse,mri_pet,alzheimers_mri_pet_013.png
4.323740661744576,3.089590703172955,0.2895441949367523,0.11183805018663406,0.7415257319010936,0.7008357879357747,0.5773303508758545,densefuse_norm,mri_pet,alzheimers_mri_pet_013.png
4.273276228500151,2.493589763650078,0.22459450364112854,0.11784932017326355,0.7850718099048298,0.5974233770984455,0.500577986240387,dwt,mri_pet,alzheimers_mri_pet_013.png
4.329979128290487,2.832880399708631,0.33522096276283264,0.1303485929965973,0.7869779197734847,0.6357076726811497,0.6133167743682861,laplacian,mri_pet,alzheimers_mri_pet_013.png
4.127592258892019,3.1929571863693558,0.221983402967453,0.06708911806344986,0.7544807146782996,0.6530070468646958,0.40906578302383423,averaging,mri_pet,alzheimers_mri_pet_014.png
4.112675882019792,3.1094867727911626,0.22139154374599457,0.06691272556781769,0.7528951133653669,0.6531772493451329,0.40714600682258606,densefuse,mri_pet,alzheimers_mri_pet_014.png
4.2932471942770345,3.1686458780005506,0.299511581659317,0.10487593710422516,0.7573891898115013,0.6979284579730515,0.5613636374473572,densefuse_norm,mri_pet,alzheimers_mri_pet_014.png
4.248874045104523,2.546523026043872,0.2306341528892517,0.11362098902463913,0.7937327658393665,0.6104736469094295,0.49667757749557495,dwt,mri_pet,alzheimers_mri_pet_014.png
4.210107346496642,2.8173432006420898,0.3432961702346802,0.12447471916675568,0.7971032707153858,0.6405304846518763,0.5974909663200378,laplacian,mri_pet,alzheimers_mri_pet_014.png
2.9986840237676766,2.672810473194219,0.18246258795261383,0.08334746211767197,0.8941557199126046,0.7643805755231142,0.44007954001426697,averaging,mri_pet,glioma_mri_pet_038.png
3.0176241517010864,2.4830006646914065,0.18195530772209167,0.0826505795121193,0.8934271378673766,0.7646361955256974,0.4372251033782959,densefuse,mri_pet,glioma_mri_pet_038.png
3.1449361235680247,2.38105634649808,0.23791301250457764,0.1290644258260727,0.924938370125609,0.7585502630417034,0.6287917494773865,densefuse_norm,mri_pet,glioma_mri_pet_038.png
3.0093462532588955,1.8576441612659156,0.2011498659849167,0.1455303132534027,0.9170792728551572,0.725175475541848,0.5796782374382019,dwt,mri_pet,glioma_mri_pet_038.png
2.916236962715588,2.2871730857295116,0.27434423565864563,0.16181102395057678,0.9568750031039023,0.717333947302678,0.7685977220535278,laplacian,mri_pet,glioma_mri_pet_038.png
3.0179012292769007,2.679015279691736,0.182339608669281,0.08145931363105774,0.8938526815525787,0.7646616908471886,0.43884313106536865,averaging,mri_pet,glioma_mri_pet_039.png
3.0384543562368447,2.5017100303658077,0.18183772265911102,0.08083775639533997,0.8933807679782277,0.7646755277890759,0.43591582775115967,densefuse,mri_pet,glioma_mri_pet_039.png
